year, month, day, dow, hol, ObsCode, dcnn,Pstn,Tdry,RH,N8,rd,sss
1908,01,01,3_we,NY,"MO return; min temp estimated on form",5578,1012.5,0.7,76,x,0,x
1908,01,02,4_th,x,"MO return",5578,1024.2,-1.8,x,x,0,x
1908,01,03,5_fr,x,"MO return",5578,1022.3,-5.1,x,x,0,x
1908,01,04,6_sa,x,"MO return",5578,1021.3,-2.9,93,x,0,x
1908,01,05,7_su,x,"MO return",5578,1024.2,-5.6,94,x,0,x
1908,01,06,1_mo,x,"MO return",5578,1017.1,4.8,91,x,1,x
1908,01,07,2_tu,x,"MO return",5578,1000.7,8.4,95,x,1,x
1908,01,08,3_we,x,"MO return",5578,980.0,3.5,91,x,1,x
1908,01,09,4_th,x,"MO return",5578,1002.4,1.2,78,x,1,x
1908,01,10,5_fr,x,"MO return",5578,1022.0,-0.6,93,x,0,x
1908,01,11,6_sa,x,"MO return",5578,1028.2,-6.4,90,x,0,x
1908,01,12,7_su,x,"MO return",5578,1023.7,-7.7,93,x,0,x
1908,01,13,1_mo,x,"MO return",5578,1019.0,-4.9,94,x,0,x
1908,01,14,2_tu,x,"MO return",5578,1021.8,4.3,82,x,1,x
1908,01,15,3_we,x,"MO return",5578,1020.1,5.5,97,x,0,x
1908,01,16,4_th,x,"MO return",5578,1013.2,9.7,91,x,1,x
1908,01,17,5_fr,x,"MO return",5578,1014.8,9.8,87,x,0,x
1908,01,18,6_sa,x,"MO return",5578,1023.9,1.2,97,x,0,x
1908,01,19,7_su,x,"MO return",5578,1023.3,0.8,95,x,0,x
1908,01,20,1_mo,x,"MO return",5578,1028.4,2.5,77,x,0,x
1908,01,21,2_tu,x,"MO return; reported degF dew point and vp (ins) slightly in error; discarded",5578,1033.2,1.1,55,x,1,x
1908,01,22,3_we,x,"MO return",5578,1028.1,1.2,87,x,0,x
1908,01,23,4_th,x,"MO return",5578,1029.8,1.3,96,x,1,x
1908,01,24,5_fr,x,"MO return; notes suggest rainfall for 24-25 split equally among the two days",5578,1030.3,-0.8,96,x,0,x
1908,01,25,6_sa,x,"MO return",5578,1026.3,-0.4,98,x,0,x
1908,01,26,7_su,x,"MO return",5578,1027.0,7.2,91,x,1,x
1908,01,27,1_mo,x,"MO return",5578,1011.4,10.5,94,x,0,x
1908,01,28,2_tu,x,"MO return",5578,1002.5,5.6,78,x,1,x
1908,01,29,3_we,x,"MO return",5578,1008.5,2.2,68,x,0,x
1908,01,30,4_th,x,"MO return",5578,1020.6,0.7,72,x,1,x
1908,01,31,5_fr,x,"MO return",5578,1012.4,4.3,83,x,0,x
1908,02,01,6_sa,x,"MO return",5578,1010.4,3.9,74,x,0,x
1908,02,02,7_su,x,"MO return; return says maxt=48.4; MO changed this to 43.4; MO have changed min temp from 31.9 to 26.9",5578,1023.6,-2.1,x,x,0,x
1908,02,03,1_mo,x,"MO return",5578,1019.6,2.3,94,x,1,x
1908,02,04,2_tu,x,"MO return",5578,1027.2,1.6,72,x,0,x
1908,02,05,3_we,x,"MO return",5578,1035.6,0.0,77,x,0,x
1908,02,06,4_th,x,"MO return; P and MSLP are maybe 0.1in too low",5578,1033.3,6.1,88,x,1,x
